"Original names"	"Glucose"	"Inulin"	"Sucrose"	"Raffinose"	"Melibiose"	"Galactose"	"Lactose"	"Trehalose"	"Maltose"	"Melezitose"	"Methyl-D-glucoside"	"Soluble Starch"	"Cellobiose"	"Salicin"	"L-Sorbose"	"L-Rhamnose"	"D-Xylose"	"L-Arabinose"	"D-Arabinose"	"D-Ribose"	"Methanol"	"Ethanol"	"Glycerol"	"Erythritol"	"Ribitol"	"Galactitol"	"D-Mannitol"	"D-Glucitol"	"myo-Inositol"	"DL-Lactate"	"Succinate"	"Citrate"	"D-Gluconate"	"D-Glucosamine"	"N-Acetyl-D-glucosamine"	"Hexadecane"	"Nitrate"	"Nitrite"	"Vitamin-free"	"2-Keto-D-gluconate"	"5-Keto-D-gluconate"	"Saccharate"	"Xylitol"	"L-Arabinitol"	"Arbutin"	"Propane 1,2 diol"	"Butane 2,3 diol"	"Cadaverine"	"Creatinine"	"L-Lysine"	"Ethylamine"	"50% Glucose"	"10% NaCl/5% glucose"	"Starch formation"	"Urease"	"Gelatin liquefaction"	"0.01% Cycloheximide"	"0.1% Cycloheximide"	"Growth at 19 ℃"	"Growth at 25℃"	"Growth at 30℃"	"Growth at 35℃"	"Growth at 37℃"	"Growth at 40℃"	"Growth at 45℃"	"CoQ (Main component)"	"Mol % G+C (Ave.)"	"DBB"	"OG1179_aa_aligned.fasta"	"OG1179_s1_aa_aligned.fasta"	"OG1179_s1_R_aa_aligned.fasta"	"OG1179_s2_aa_aligned.fasta"
"Alloascoidea_hylecoeti"	1	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"n"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"n"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"1"	"1"	"n"	"n"	"1"	"0"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	2	2	1	1
"Ascoidea_rubescens"	1	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"n"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"1"	"1"	"n"	"n"	"1"	"0"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	NA	NA	NA	NA
"yHMPu5000034998_Cephaloascus_albidus"	1	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"v"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"1"	"1"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"37.799999999999997"	"0"	NA	NA	NA	NA
"yHMPu5000034999_Cephaloascus_fragrans"	1	"0"	"0"	"0"	"0"	"1"	"0"	"v"	"0"	"0"	"0"	"v"	"0"	"0"	"v"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"v"	"1"	"1"	"0"	"0"	"v"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"1"	"1"	"n"	"v"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"39.9"	"0"	NA	NA	NA	NA
"Wickerhamia_fluorescens"	1	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"37.6"	"0"	NA	NA	NA	NA
"yHMPu5000035252_Yamadazyma_nakazawae"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"39"	"0"	2	2	2	2
"yHMPu5000035640_Yamadazyma_philogaea"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"42"	"0"	2	2	2	2
"yHMPu5000035641_Yamadazyma_scolyti"	1	"0"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"v"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"n"	"n"	"9"	"38.200000000000003"	"0"	2	2	1	1
"yHMPu5000041829_Debaryomyces_fabryi"	1	"0"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"v"	"1"	"1"	"1"	"1"	"v"	"0"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"35.299999999999997"	"0"	2	2	2	2
"Debaryomyces_hansenii"	1	"v"	"1"	"1"	"v"	"1"	"v"	"1"	"1"	"v"	"1"	"v"	"1"	"1"	"v"	"v"	"1"	"1"	"v"	"v"	"0"	"1"	"1"	"v"	"1"	"v"	"1"	"1"	"0"	"v"	"1"	"v"	"1"	"v"	"v"	"v"	"0"	"n"	"0"	"1"	"v"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"36.799999999999997"	"0"	2	2	2	2
