"ID"	"Species name"	"original_genome_id"	"old_speceis_names"	"speceis_names_fig2"	"hex"	"id_table S1"	"Major clade"	"clade_order"	"Family"	"Genus"	"CUG usage"	"ratio_hq"	"num_hq"	"select"
"1"	1	"Saprochaete clavata"	"saprochaete_clavata"	"Saprochaete_clavata"	"Saprochaete_clavata"	"#FF2800"	22	"Dipodascaceae/Trichomonascaceae"	3	"Dipodascaceae"	"Saprochaete"	"Leu"	0.461549970077798	3085	"No"
"2"	2	"Deakozyma indianensis"	"yHMPu5000034974_deakozyma_indianensis_160519"	"yHMPu5000034974_Deakozyma_indianensis"	"Deakozyma_indianensis"	"#FF2800"	39	"Dipodascaceae/Trichomonascaceae"	3	"Saccharomycetales incertae sedis"	"Deakozyma"	"Leu"	0.660665575559193	3633	"No"
"3"	3	"Clavispora lusitaniae"	"clavispora_lusitaniae"	"Clavispora_lusitaniae"	"Clavispora_lusitaniae"	"#FFd200"	135	"CUG-Ser1"	8	"Metschnikowiaceae"	"Clavispora"	"Ser"	0.599020568070519	3058	"No"
"4"	4	"Cephaloascus fragrans"	"yHMPu5000034999_cephaloascus_fragrans_160519"	"yHMPu5000034999_Cephaloascus_fragrans"	"Cephaloascus_fragrans"	"#FFd200"	204	"CUG-Ser1"	8	"Cephaloascaceae"	"Cephaloascus"	"Ser"	0.58291888183845	3399	"No"
"5"	5	"Cephaloascus albidus"	"yHMPu5000034998_cephaloascus_albidus_160519"	"yHMPu5000034998_Cephaloascus_albidus"	"Cephaloascus_albidus"	"#FFd200"	205	"CUG-Ser1"	8	"Cephaloascaceae"	"Cephaloascus"	"Ser"	0.514788829275003	3742	"No"
"6"	6	"Babjeviella inositovora"	"babjeviella_inositovora"	"Babjeviella_inositovora"	"Babjeviella_inositovora"	"#FFd200"	122	"CUG-Ser1"	8	"Debaryomycetaceae"	"Babjeviella"	"Ser"	0.608162550359082	3472	"Yes"
"7"	7	"Candida dubliniensis"	"candida_dubliniensis"	"Candida_dubliniensis"	"Candida_dubliniensis"	"#FFd200"	126	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.549677856900644	3242	"No"
"8"	8	"Candida albicans"	"candida_albicans"	"Candida_albicans"	"Candida_albicans"	"#FFd200"	123	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.584346135148274	3606	"Yes"
"9"	9	"Candida parapsilosis"	"candida_parapsilosis"	"Candida_parapsilosis"	"Candida_parapsilosis"	"#FFd200"	130	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.564398308342945	2936	"No"
"10"	10	"Hyphopichia homilentoma"	"candida_homilentoma"	"Candida_homilentoma"	"Hyphopichia_homilentoma"	"#FFd200"	127	"CUG-Ser1"	8	"Debaryomycetaceae"	"Hyphopichia"	"Ser"	0.598960267359822	3226	"No"
"11"	11	"Candida tropicalis"	"candida_tropicalis"	"Candida_tropicalis"	"Candida_tropicalis"	"#FFd200"	134	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.574493243243243	3401	"No"
"12"	12	"Candida orthopsilosis"	"candida_orthopsilosis"	"Candida_orthopsilosis"	"Candida_orthopsilosis"	"#FFd200"	129	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.564127477652546	2903	"No"
"13"	13	"Candida carpophila"	"candida_carpophila"	"Candida_carpophila"	"Candida_carpophila"	"#FFd200"	125	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.629232039636664	3048	"No"
"14"	14	"Suhomyces tanzawaensis"	"candida_tanzawaensis"	"Candida_tanzawaensis"	"Suhomyces_tanzawaensis"	"#FFd200"	132	"CUG-Ser1"	8	"Debaryomycetaceae"	"Suhomyces"	"Ser"	0.590322580645161	3111	"No"
"15"	15	"Yamadazyma tenuis"	"candida_tenuis"	"Candida_tenuis"	"Yamadazyma_tenuis"	"#FFd200"	133	"CUG-Ser1"	8	"Debaryomycetaceae"	"Yamadazyma"	"Ser"	0.589226973684211	2866	"No"
"16"	16	"Candida athensensis"	"yHMPu5000034632_candida_athensensis_160519"	"yHMPu5000034632_Candida_athensensis"	"Candida_athensensis"	"#FFd200"	214	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.614007954043305	2779	"No"
"17"	17	"Candida rhagii"	"yHMPu5000035679_candida_rhagii_160613"	"yHMPu5000035679_Candida_rhagii"	"Candida_rhagii"	"#FFd200"	186	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.583483591777858	3236	"No"
"18"	18	"Candida gotoi"	"yHMPu5000035681_candida_gotoi_160519"	"yHMPu5000035681_Candida_gotoi"	"Candida_gotoi"	"#FFd200"	185	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.585892261800316	3339	"No"
