"clade"	"species"	"ura1_original"	"ura1_HGT"	"crabtree positive"	"WGD"
"Alloascoideaceae"	"Alloascoidea_hylecoeti"	1	0	"0"	"No"
"Pichiaceae"	"Ambrosiozyma_kashinagacola"	1	0	"NaN"	"No"
"Pichiaceae"	"Ambrosiozyma_monospora"	1	0	"NaN"	"No"
"Ascomycota"	"Arthrobotrys_oligospora"	0	1	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Arxula_adeninivorans"	1	0	"NaN"	"No"
"CUG-Ser2"	"Ascoidea_asiatica"	1	0	"NaN"	"No"
"CUG-Ser2"	"Ascoidea_rubescens"	1	0	"0"	"No"
"Saccharomycetaceae"	"Ashbya_aceri"	1	0	"NaN"	"No"
"Ascomycota"	"Aspergillus_nidulans"	1	0	"NaN"	"No"
"CUG-Ser1"	"Babjeviella_inositovora"	1	0	"0"	"No"
"Ascomycota"	"Botrytis_cinerea"	0	1	"NaN"	"No"
"Pichiaceae"	"Brettanomyces_anomalus"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_albicans"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"Candida_apicola"	1	0	"NaN"	"No"
"Pichiaceae"	"Candida_arabinofermentans"	1	0	"0"	"No"
"CUG-Ser1"	"Candida_auris"	1	0	"NaN"	"No"
"Pichiaceae"	"Candida_boidinii_JCM9604"	1	0	"0"	"No"
"CUG-Ser1"	"Candida_carpophila"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_dubliniensis"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"Candida_glabrata"	1	0	"1"	"Yes"
"CUG-Ser1"	"Candida_homilentoma"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Candida_infanticola"	1	0	"0"	"No"
"CUG-Ser1"	"Candida_intermedia"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_orthopsilosis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_parapsilosis"	1	0	"0"	"No"
"CUG-Ser1"	"Candida_sojae"	0	1	"NaN"	"No"
"Pichiaceae"	"Candida_sorboxylosa"	1	0	"NaN"	"No"
"Pichiaceae"	"Candida_succiphila"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_tanzawaensis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_tenuis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Candida_tropicalis"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"Candida_versatilis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Clavispora_lusitaniae"	1	0	"NaN"	"No"
"Ascomycota"	"Coccidioides_immitis"	0	1	"NaN"	"No"
"Phaffomycetaceae"	"Cyberlindnera_fabianii_JCM3601"	1	0	"NaN"	"No"
"Phaffomycetaceae"	"Cyberlindnera_jadinii"	1	0	"NaN"	"No"
"CUG-Ser1"	"Debaryomyces_hansenii"	1	0	"0"	"No"
"Pichiaceae"	"Dekkera_bruxellensis"	1	0	"1"	"No"
"Saccharomycetaceae"	"Eremothecium_coryli"	1	0	"0"	"No"
"Saccharomycetaceae"	"Eremothecium_cymbalariae"	1	0	"0"	"No"
"Saccharomycetaceae"	"Eremothecium_gossypii"	1	0	"0"	"No"
"Saccharomycetaceae"	"Eremothecium_sinecaudum"	1	0	"0"	"No"
"Ascomycota"	"Fusarium_graminearum"	0	1	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Geotrichum_candidum"	1	0	"NaN"	"No"
"Saccharomycodaceae"	"Hanseniaspora_uvarum"	1	0	"0"	"No"
"Saccharomycodaceae"	"Hanseniaspora_valbyensis"	1	0	"NaN"	"No"
"Saccharomycodaceae"	"Hanseniaspora_vinae"	1	0	"1"	"No"
"CUG-Ser1"	"Hyphopichia_burtonii"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"Kazachstania_africana"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"Kazachstania_naganishii"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"Kluyveromyces_lactis"	1	1	"0"	"No"
"Saccharomycetaceae"	"Kluyveromyces_marxianus"	1	1	"1"	"No"
"Pichiaceae"	"Komagataella_pastoris"	1	0	"0"	"No"
"Pichiaceae"	"Kuraishia_capsulata"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_cidri"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_dasiensis"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_fantastica"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_fermentati"	1	1	"1"	"No"
"Saccharomycetaceae"	"Lachancea_kluyveri"	1	1	"1"	"No"
"Saccharomycetaceae"	"Lachancea_lanzarotensis"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_meyersii"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_mirantina"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_nothofagi"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_quebecensis"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"Lachancea_thermotolerans"	1	1	"1"	"No"
"Saccharomycetaceae"	"Lachancea_waltii"	1	1	"1"	"No"
"Lipomycetaceae"	"Lipomyces_starkeyi"	1	0	"0"	"No"
"CUG-Ser1"	"Lodderomyces_elongisporus"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_aberdeeniae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_arizonensis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_bicuspidata"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_borealis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_bowlesiae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_cerradonensis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_continentalis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_dekortum"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_drakensbergensis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_hamakuensis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_hawaiiensis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_hibisci"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_ipomoeae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_kamakouana"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_kipukae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_lockheadii"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_matae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_matae_maris"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_mauinuiana"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_proteae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_santaceciliae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_shivogae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Metschnikowia_similis"	1	0	"NaN"	"No"
"CUG-Ser1"	"Meyerozyma_guilliermondii"	1	0	"NaN"	"No"
"CUG-Ser1"	"Millerozyma_acaciae"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Nadsonia_fulvescens_var_elongata"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"Nakaseomyces_bacillisporus"	1	1	"NaN"	"Yes"
"Saccharomycetaceae"	"Nakaseomyces_bracarensis"	1	0	"NaN"	"Yes"
"Saccharomycetaceae"	"Nakaseomyces_castellii"	1	0	"1"	"Yes"
"Saccharomycetaceae"	"Nakaseomyces_delphensis"	1	0	"1"	"Yes"
"Saccharomycetaceae"	"Nakaseomyces_nivariensis"	1	0	"NaN"	"Yes"
"CUG-Ala"	"Nakazawaea_peltata"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"Naumovozyma_castellii"	0	1	"1"	"Yes"
"Saccharomycetaceae"	"Naumovozyma_dairenensis"	0	1	"NaN"	"Yes"
"Ascomycota"	"Neurospora_crassa"	0	1	"NaN"	"No"
"Pichiaceae"	"Ogataea_methanolica"	1	0	"NaN"	"No"
"Pichiaceae"	"Ogataea_parapolymorpha"	1	0	"NaN"	"No"
"Pichiaceae"	"Ogataea_polymorpha"	1	0	"NaN"	"No"
"CUG-Ala"	"Pachysolen_tannophilus"	1	0	"NaN"	"No"
"Pichiaceae"	"Pichia_membranifaciens"	1	0	"0"	"No"
"CUG-Ser1"	"Priceomyces_haplophilus"	1	0	"0"	"No"
"Saccharomycetaceae"	"Saccharomyces_arboricola"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"Saccharomyces_cerevisiae"	0	1	"1"	"Yes"
"Saccharomycetaceae"	"Saccharomyces_eubayanus"	0	1	"1"	"Yes"
